,award_year,Female,Male
0,1901,0,6
1,1902,0,7
2,1903,1,6
3,1904,0,5
4,1905,1,4
5,1906,0,6
6,1907,0,6
7,1908,0,7
8,1909,1,6
9,1910,0,4
10,1911,1,5
11,1912,0,6
12,1913,0,5
13,1914,0,3
14,1915,0,4
15,1916,0,1
16,1917,0,3
17,1918,0,2
18,1919,0,4
19,1920,0,5
20,1921,0,5
21,1922,0,6
22,1923,0,5
23,1924,0,3
24,1925,0,6
25,1926,1,5
26,1927,0,7
27,1928,1,3
28,1929,0,7
29,1930,0,5
30,1931,1,5
31,1932,0,5
32,1933,0,5
33,1934,0,6
34,1935,1,4
35,1936,0,7
36,1937,0,7
37,1938,1,3
38,1939,0,5
39,1943,0,4
40,1944,0,5
41,1945,1,6
42,1946,1,7
43,1947,1,5
44,1948,0,4
45,1949,0,6
46,1950,0,8
47,1951,0,7
48,1952,0,7
49,1953,0,6
50,1954,0,7
51,1955,0,5
52,1956,0,9
53,1957,0,6
54,1958,0,9
55,1959,0,7
56,1960,0,6
57,1961,0,6
58,1962,0,8
59,1963,1,8
60,1964,1,7
61,1965,0,8
62,1966,1,5
63,1967,0,8
64,1968,0,7
65,1969,0,9
66,1970,0,9
67,1971,0,6
68,1972,0,11
69,1973,0,12
70,1974,0,12
71,1975,0,12
72,1976,2,7
73,1977,1,9
74,1978,0,11
75,1979,1,10
76,1980,0,11
77,1981,0,10
78,1982,1,8
79,1983,1,6
80,1984,0,9
81,1985,0,7
82,1986,1,10
83,1987,0,9
84,1988,1,10
85,1989,0,10
86,1990,0,11
87,1991,2,5
88,1992,1,6
89,1993,1,10
90,1994,0,12
91,1995,1,10
92,1996,1,12
93,1997,1,10
94,1998,0,12
95,1999,0,6
96,2000,0,13
97,2001,0,14
98,2002,0,13
99,2003,1,10
100,2004,3,9
101,2005,0,12
102,2006,0,8
103,2007,1,10
104,2008,1,11
105,2009,5,8
106,2010,0,11
107,2011,3,10
108,2012,0,9
109,2013,1,11
110,2014,2,11
111,2015,2,8
112,2016,0,11
113,2017,0,11
114,2018,4,9
115,2019,1,13
116,2020,4,7
117,2021,1,12
118,2022,2,10
